Campaign;Code;From;To;Total Amount;Ads set;Code;price
ACCOUNTANTS 62507020e4b0240b0c66ca69 test checkb ox + cancelation · #29468247 ;62507020e4b0240b0c66ca69;April 8, 2022;April 9, 2022;$12.98;ACCOUNTANTS 62507020e4b0240b0c66ca69 test checkb ox + cancelation · #29468247 ;62507020e4b0240b0c66ca69;0.25 
ACCOUNTANTS 62507020e4b0240b0c66ca69 test checkb ox + cancelation · #29468629 ;62507020e4b0240b0c66ca69;April 8, 2022;April 9, 2022;$12.98;ACCOUNTANTS 62507020e4b0240b0c66ca69 test checkb ox + cancelation · #29468629 ;62507020e4b0240b0c66ca69;0.23 
PROMOTE_LISTING 62520c12e4b0240b0c66ca6b Bharath Talluri (Kumar) · #29480339 ;62520c12e4b0240b0c66ca6b;April 9, 2022;April 9, 2022;$12.98;PROMOTE_LISTING 62520c12e4b0240b0c66ca6b Bharath Talluri (Kumar) · #29480339 ;62520c12e4b0240b0c66ca6b;12.50 
